service_id,date,exception_type
20230821_MTWTF--_50,20231005,1
20230823_MTWTF--_83,20231005,1
20220522_MTWTF--_1,20231006,1
20220522_MTWTF--_2,20231006,1
20220522_MTWTF--_3,20231006,1
20220904_----F--_8,20231006,1
20220904_M-W-F--_11,20231006,1
20220904_MT--F--_12,20231006,1
20220904_MT-TF--_13,20231006,1
20220904_MTW-F--_14,20231006,1
20220904_MTWTF--_16,20231006,1
20220904_MTWTF--_19,20231006,1
20220904_MTWTF--_27,20231006,1
20220905_MTWTF--_28,20231006,1
20220905_MTWTF--_38,20231006,1
20220926_M-W-F--_36,20231006,1
20230820_----F--_41,20231006,1
20230820_MTWTF--_42,20231006,1
20230821_MTWTF--_49,20231006,1
20230821_MTWTF--_50,20231006,1
20230823_MTWTF--_83,20231006,1
20230831_----F--_85,20231006,1
20230928_----F--_91,20231006,1
20220522_-----S-_5,20231007,1
20220904_-----S-_17,20231007,1
20220904_-----S-_26,20231007,1
20220904_-----S-_7,20231007,1
20230820_-----S-_40,20231007,1
20230820_-----S-_43,20231007,1
20230821_-----S-_51,20231007,1
20230928_-----S-_90,20231007,1
20220522_------S_4,20231008,1
20220904_------S_18,20231008,1
20220926_------S_34,20231008,1
20230820_------S_39,20231008,1
20230831_------S_84,20231008,1
20220522_MTWTF--_1,20231009,1
20220522_MTWTF--_2,20231009,1
20220522_MTWTF--_3,20231009,1
20220904_M-W-F--_11,20231009,1
20220904_MT--F--_12,20231009,1
20220904_MT-TF--_13,20231009,1
20220904_MTW-F--_14,20231009,1
20220904_MTWT---_15,20231009,1
20220904_MTWTF--_16,20231009,1
20220904_MTWTF--_19,20231009,1
20220904_MTWTF--_27,20231009,1
20220905_MTWTF--_28,20231009,1
20220905_MTWTF--_38,20231009,1
20220926_M-W-F--_36,20231009,1
20230820_MTWTF--_42,20231009,1
20230821_MTWTF--_49,20231009,1
20230821_MTWTF--_50,20231009,1
20230823_MTWTF--_83,20231009,1
20220522_MTWTF--_1,20231010,1
20220522_MTWTF--_2,20231010,1
20220522_MTWTF--_3,20231010,1
20220904_-T-----_23,20231010,1
20220904_MT--F--_12,20231010,1
20220904_MT-TF--_13,20231010,1
20220904_MTW-F--_14,20231010,1
20220904_MTWT---_15,20231010,1
20220904_MTWTF--_16,20231010,1
20220904_MTWTF--_19,20231010,1
20220904_MTWTF--_27,20231010,1
20220905_MTWTF--_28,20231010,1
20220905_MTWTF--_38,20231010,1
20230820_MTWTF--_42,20231010,1
20230821_MTWTF--_49,20231010,1
20230821_MTWTF--_50,20231010,1
20230823_MTWTF--_83,20231010,1
20220522_MTWTF--_1,20231011,1
20220522_MTWTF--_2,20231011,1
20220522_MTWTF--_3,20231011,1
20220904_--W----_82,20231011,1
20220904_--WT---_10,20231011,1
20220904_M-W-F--_11,20231011,1
20220904_MTW-F--_14,20231011,1
20220904_MTWT---_15,20231011,1
20220904_MTWTF--_16,20231011,1
20220904_MTWTF--_19,20231011,1
20220904_MTWTF--_27,20231011,1
20220905_MTWTF--_28,20231011,1
20220905_MTWTF--_38,20231011,1
20220926_M-W-F--_36,20231011,1
20230820_MTWTF--_42,20231011,1
20230821_MTWTF--_49,20231011,1
20230821_MTWTF--_50,20231011,1
20230823_MTWTF--_83,20231011,1
20220522_MTWTF--_1,20231012,1
20220522_MTWTF--_2,20231012,1
20220522_MTWTF--_3,20231012,1
20220904_---T---_9,20231012,1
20220904_--WT---_10,20231012,1
20220904_MT-TF--_13,20231012,1
20220904_MTWT---_15,20231012,1
20220904_MTWTF--_16,20231012,1
20220904_MTWTF--_19,20231012,1
20220904_MTWTF--_27,20231012,1
20220905_MTWTF--_28,20231012,1
20220905_MTWTF--_38,20231012,1
20220926_---T---_35,20231012,1
20230820_MTWTF--_42,20231012,1
20230821_MTWTF--_49,20231012,1
20230821_MTWTF--_50,20231012,1
20230823_MTWTF--_83,20231012,1
20220522_MTWTF--_1,20231013,1
20220522_MTWTF--_2,20231013,1
20220522_MTWTF--_3,20231013,1
20220904_----F--_8,20231013,1
20220904_M-W-F--_11,20231013,1
20220904_MT--F--_12,20231013,1
20220904_MT-TF--_13,20231013,1
20220904_MTW-F--_14,20231013,1
20220904_MTWTF--_16,20231013,1
20220904_MTWTF--_19,20231013,1
20220904_MTWTF--_27,20231013,1
20220905_MTWTF--_28,20231013,1
20220905_MTWTF--_38,20231013,1
20220926_M-W-F--_36,20231013,1
20230820_----F--_41,20231013,1
20230820_MTWTF--_42,20231013,1
20230821_MTWTF--_49,20231013,1
20230821_MTWTF--_50,20231013,1
20230823_MTWTF--_83,20231013,1
20230831_----F--_85,20231013,1
20230928_----F--_91,20231013,1
20220522_-----S-_5,20231014,1
20220904_-----S-_17,20231014,1
20220904_-----S-_26,20231014,1
20220904_-----S-_7,20231014,1
20230820_-----S-_40,20231014,1
20230820_-----S-_43,20231014,1
20230821_-----S-_51,20231014,1
20230928_-----S-_90,20231014,1
20220522_------S_4,20231015,1
20220904_------S_18,20231015,1
20220926_------S_34,20231015,1
20230820_------S_39,20231015,1
20230831_------S_84,20231015,1
20220522_MTWTF--_1,20231016,1
20220522_MTWTF--_2,20231016,1
20220522_MTWTF--_3,20231016,1
20220904_M-W-F--_11,20231016,1
20220904_MT--F--_12,20231016,1
20220904_MT-TF--_13,20231016,1
20220904_MTW-F--_14,20231016,1
20220904_MTWT---_15,20231016,1
20220904_MTWTF--_16,20231016,1
20220904_MTWTF--_19,20231016,1
20220904_MTWTF--_27,20231016,1
20220905_MTWTF--_28,20231016,1
20220905_MTWTF--_38,20231016,1
20220926_M-W-F--_36,20231016,1
20230820_MTWTF--_42,20231016,1
20230821_MTWTF--_49,20231016,1
20230821_MTWTF--_50,20231016,1
20230823_MTWTF--_83,20231016,1
20220522_MTWTF--_1,20231017,1
20220522_MTWTF--_2,20231017,1
20220522_MTWTF--_3,20231017,1
20220904_-T-----_23,20231017,1
20220904_MT--F--_12,20231017,1
20220904_MT-TF--_13,20231017,1
20220904_MTW-F--_14,20231017,1
20220904_MTWT---_15,20231017,1
20220904_MTWTF--_16,20231017,1
20220904_MTWTF--_19,20231017,1
20220904_MTWTF--_27,20231017,1
20220905_MTWTF--_28,20231017,1
20220905_MTWTF--_38,20231017,1
20230820_MTWTF--_42,20231017,1
20230821_MTWTF--_49,20231017,1
20230821_MTWTF--_50,20231017,1
20230823_MTWTF--_83,20231017,1
20220522_MTWTF--_1,20231018,1
20220522_MTWTF--_2,20231018,1
20220522_MTWTF--_3,20231018,1
20220904_--W----_82,20231018,1
20220904_--WT---_10,20231018,1
20220904_M-W-F--_11,20231018,1
20220904_MTW-F--_14,20231018,1
20220904_MTWT---_15,20231018,1
20220904_MTWTF--_16,20231018,1
20220904_MTWTF--_19,20231018,1
20220904_MTWTF--_27,20231018,1
20220905_MTWTF--_28,20231018,1
